product_id,product_name,department,brand,price,stock_quantity,units_sold,restock_date,location_aisle
1001,Work Light,Tools,Milwaukee,243.41,132,8,2025-05-14,Aisle 5
1002,Shower Head,Bath,Delta,190.92,75,25,2025-05-18,Aisle 26
1003,Hammer Drill,Tools,DEWALT,164.6,197,1,2025-05-20,Aisle 2
1004,Interior Paint - Eggshell,Paint,Valspar,201.41,6,44,2025-05-22,Aisle 7
1005,Primer,Paint,Rust-Oleum,78.63,179,42,2025-05-09,Aisle 21
1006,Faucet,Bath,Delta,33.09,183,36,2025-05-14,Aisle 27
1007,Exterior Paint - Satin,Paint,Rust-Oleum,7.62,43,32,2025-05-12,Aisle 3
1008,Mulch Bag,Garden,Roundup,63.34,119,22,2025-05-16,Aisle 26
1009,Hammer Drill,Tools,Craftsman,239.49,57,47,2025-05-17,Aisle 27
1010,Toilet,Bath,Delta,248.99,15,7,2025-05-11,Aisle 27
1011,Plant Food,Garden,Roundup,86.07,58,5,2025-05-18,Aisle 1
1012,Work Light,Tools,Craftsman,176.26,121,33,2025-05-19,Aisle 4
1013,Doorbell Camera,Home Automation,Ecobee,61.86,65,31,2025-05-16,Aisle 28
1014,Pedestal Fan,Fans,Hunter,188.52,37,11,2025-05-21,Aisle 12
1015,Smart Bulb,Lighting,Commercial Electric,33.3,83,8,2025-05-16,Aisle 17
1016,Exterior Paint - Satin,Paint,HGTV Home,185.14,39,6,2025-05-14,Aisle 1
1017,Weed Killer,Garden,Roundup,39.75,173,50,2025-05-20,Aisle 11
1018,Smart Lock,Home Automation,Ecobee,26.94,178,9,2025-05-09,Aisle 20
1019,Vanity Top,Bath,Moen,64.78,181,25,2025-05-11,Aisle 22
1020,Security Camera,Home Automation,Ring,16.31,58,43,2025-05-11,Aisle 15
1021,Lawn Fertilizer,Garden,Scotts,15.83,104,45,2025-05-10,Aisle 3
1022,Tower Fan,Fans,Honeywell,60.13,161,36,2025-05-12,Aisle 27
1023,Hammer Drill,Tools,Craftsman,89.81,168,4,2025-05-20,Aisle 25
1024,Cordless Drill,Tools,Craftsman,113.85,26,16,2025-05-09,Aisle 26
1025,Interior Paint - Eggshell,Paint,Valspar,226.28,10,45,2025-05-15,Aisle 14
1026,Floor Tile,Flooring,TrafficMaster,192.91,104,28,2025-05-21,Aisle 13
1027,Smart Bulb,Lighting,Philips,71.37,190,47,2025-05-17,Aisle 5
1028,LED Ceiling Light,Lighting,Commercial Electric,236.8,41,49,2025-05-14,Aisle 25
1029,Ceiling Fan,Fans,Harbor Breeze,40.51,30,23,2025-05-09,Aisle 15
1030,Tower Fan,Fans,Hunter,219.78,81,10,2025-05-11,Aisle 20
1031,Garden Hose,Outdoors,Rain Bird,63.88,198,37,2025-05-21,Aisle 19
1032,Concrete Mix,Building Materials,Severe Weather,42.53,43,15,2025-05-14,Outside Yard
1033,Floor Tile,Flooring,TrafficMaster,185.09,69,34,2025-05-22,Aisle 27
1034,Lawn Fertilizer,Garden,Roundup,116.74,93,24,2025-05-16,Aisle 14
1035,Vanity Top,Bath,Delta,23.3,127,34,2025-05-19,Aisle 6
1036,Concrete Mix,Building Materials,TuffBlock,32.63,13,6,2025-05-09,Outside Yard
1037,Tower Fan,Fans,Honeywell,100.99,92,28,2025-05-22,Aisle 17
1038,Smart Lock,Home Automation,Nest,20.67,134,31,2025-05-21,Aisle 5
1039,Shower Head,Bath,Kohler,216.71,0,10,2025-05-11,Aisle 11
1040,Vanity Top,Bath,Moen,194.04,195,49,2025-05-19,Aisle 13
1041,Doorbell Camera,Home Automation,Ring,143.45,160,34,2025-05-18,Aisle 26
1042,Outdoor Light,Outdoors,Rain Bird,234.46,165,45,2025-05-09,Aisle 10
1043,Wood Fence Panel,Building Materials,TuffBlock,11.67,34,13,2025-05-09,Outside Yard
1044,Vanity Top,Bath,Delta,77.32,14,11,2025-05-18,Aisle 8
1045,Pedestal Fan,Fans,Honeywell,222.16,21,17,2025-05-12,Aisle 8
1046,Smart Thermostat,Home Automation,Ecobee,68.84,74,20,2025-05-12,Aisle 17
1047,Primer,Paint,Valspar,188.12,63,18,2025-05-21,Aisle 15
1048,Plant Food,Garden,Scotts,36.34,118,38,2025-05-19,Aisle 28
1049,Wall Sconce,Lighting,GE,183.07,120,14,2025-05-17,Aisle 2
1050,Patio Heater,Outdoors,Flexon,36.83,68,43,2025-05-09,Aisle 20
1051,Plant Food,Garden,Roundup,131.79,167,40,2025-05-13,Aisle 12
1052,Cordless Drill,Tools,Milwaukee,108.9,74,8,2025-05-18,Aisle 19
1053,Smart Bulb,Lighting,Commercial Electric,102.11,129,47,2025-05-21,Aisle 18
1054,Wall Sconce,Lighting,Commercial Electric,88.88,24,41,2025-05-11,Aisle 18
1055,Interior Paint - Eggshell,Paint,Rust-Oleum,180.94,127,39,2025-05-12,Aisle 17
1056,Security Camera,Home Automation,Ecobee,103.36,111,12,2025-05-13,Aisle 16
1057,Laminate Flooring,Flooring,Pergo,76.56,140,29,2025-05-21,Aisle 7
1058,Tool Set,Tools,DEWALT,249.35,175,23,2025-05-12,Aisle 28
1059,Chandelier,Lighting,Commercial Electric,148.47,4,35,2025-05-16,Aisle 13
1060,Tool Set,Tools,Craftsman,152.58,19,1,2025-05-22,Aisle 27
1061,Tool Set,Tools,Craftsman,201.15,30,7,2025-05-18,Aisle 16
1062,Sprinkler,Outdoors,Flexon,110.49,71,16,2025-05-17,Aisle 25
1063,Sprinkler,Outdoors,Rain Bird,172.25,83,28,2025-05-17,Aisle 2
1064,Wall Sconce,Lighting,Philips,117.44,160,25,2025-05-18,Aisle 2
